Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.0001,16,60,1,150,0.923104084,44.26229508,0.37170834
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.0001,64,60,1,100,0.871277786,39.16666667,0.848579614
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,1,100,0.937351306,54.58333333,0.573614853
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,1,150,0.88058668,35,0.512885677
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.001,32,60,1,150,0.892891367,40.41666667,0.25802681
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.6,0.001,16,60,1,150,0.965727984,70.41666667,0.872080475
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.3,0.001,16,60,1,150,0.959645276,65.83333333,0.683210034
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.6,0.0005,16,60,1,50,0.878280272,25.83333333,0.372169373
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.001,16,60,1,50,0.913655763,36.66666667,0.422137255
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,16,60,1,150,0.961310365,68.33333333,0.69100356
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.0005,16,60,1,150,0.940408237,45,0.386080691
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.001,16,60,1,150,0.965858532,70.83333333,0.766542206
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.0001,16,60,1,50,0.844301145,27.91666667,0.430201188
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.001,16,60,1,150,0.906177698,50.41666667,0.692069633
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,32,60,1,150,0.925950461,36.66666667,0.443304257
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.0001,16,60,1,100,0.913262276,40,0.3883537
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.0005,16,60,1,50,0.565341573,14.58333333,0.419195231
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.001,32,60,1,150,0.947819392,50.83333333,0.399290594
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,16,60,1,150,0.965525001,65,0.840916974
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.001,16,60,1,150,0.961227524,67.5,0.65277029
23,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.001,16,60,1,150,0.964786427,69.16666667,0.681844514
24,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,16,60,1,150,0.965609349,66.25,0.630112257
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.7,0.001,64,60,30,50,-0.310542969,9.70464135,0.98869273
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.0001,16,60,30,100,-0.667480764,7.172995781,0.612565721
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0005,64,60,30,100,-0.208611625,6.751054852,0.762795122
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.001,16,60,30,150,-0.90279019,5.485232068,0.630587044
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.0005,16,60,30,50,-0.633523667,5.907172996,0.743354846
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.2,0.001,64,60,30,100,-0.28777587,5.063291139,0.730372663
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.8,0.0005,32,60,30,100,-0.51237447,6.329113924,0.636179176
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.8,0.0001,16,60,30,50,-0.56255065,10.12658228,0.780445427
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.6,0.0001,64,60,30,50,-0.314559604,13.5021097,0.788956402
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.001,64,60,30,50,-0.165050522,5.063291139,0.981780653
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,32,60,30,150,-0.540571925,5.907172996,0.657428714
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,30,100,-0.261221084,5.063291139,0.716757221
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,30,50,-0.194413849,5.485232068,1.035976679
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.001,64,60,30,50,-0.251505349,5.485232068,0.70223922
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.0005,64,60,30,50,-0.176361263,5.063291139,0.962779509
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,64,60,30,50,-3.219452293,5.907172996,0.689351178
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.0005,32,60,30,50,-0.22761423,5.485232068,0.814667632
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.001,64,60,30,150,-0.2853165,5.485232068,0.734887908
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,30,50,-1.865979987,8.016877637,0.713436862
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.0001,32,60,30,50,-0.364790058,7.594936709,0.67888341
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,64,60,30,150,-0.354811536,6.329113924,0.65846514
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,30,50,-0.17110063,5.485232068,0.962779509
