Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.3,0.0005,32,60,1,100,relu,0.64248936,28.33333333,0.7370223
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.3,0.0001,32,60,1,50,leaky_relu,0.781408419,30.41666667,0.602860633
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.001,64,60,1,150,leaky_relu,0.768892271,36.25,0.53890823
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.5,0.0001,32,60,1,50,relu,0.613600163,22.08333333,0.465235121
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.3,0.0001,64,60,1,50,leaky_relu,0.562296985,28.75,0.79161512
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.001,32,60,1,150,relu,0.505900371,10.83333333,0.571942007
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.5,0.001,32,60,1,150,relu,0.423579138,4.166666667,0.571334709
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.2,0.0001,64,60,1,100,leaky_relu,0.800218093,39.16666667,0.792741082
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.2,0.0001,64,60,1,100,leaky_relu,0.438274296,21.25,0.558748128
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.2,0.0001,64,60,1,100,leaky_relu,0.757237131,36.66666667,0.525515971
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0001,64,60,1,100,leaky_relu,0.804556403,32.91666667,0.70774782
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0001,64,60,1,100,leaky_relu,0.79703009,35,0.806845678
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0005,64,60,1,100,leaky_relu,0.749828859,34.58333333,0.638758941
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0001,64,60,1,100,leaky_relu,0.777636293,31.25,0.674272198
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.3,0.0001,64,60,1,100,leaky_relu,0.601124311,29.58333333,0.651149049
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0005,64,60,1,50,leaky_relu,0.562497426,32.91666667,0.470256518
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.908689397,44.16666667,1.018804598
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.3,0.001,64,60,1,150,leaky_relu,0.787792596,35.83333333,0.726349984
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.920735376,57.08333333,0.67702251
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.867978814,46.66666667,0.705305628
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.873599296,44.16666667,1.019312376
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.001,64,60,1,150,leaky_relu,0.675564717,27.08333333,0.747452075
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.5,0.0005,64,60,30,150,relu,-0.861296136,8.438818565,0.81629237
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.5,0.0001,32,60,30,50,leaky_relu,-0.211167893,8.438818565,0.591286272
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.0001,64,60,30,150,leaky_relu,-0.267749823,8.438818565,0.7415389
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.3,0.0005,64,60,30,100,leaky_relu,0.417157194,21.09704641,1.07764778
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.3,0.001,64,60,30,150,leaky_relu,-0.2802519,11.39240506,1.212052989
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.2,0.0001,64,60,30,100,leaky_relu,0.217705,18.98734177,0.781555075
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.0005,32,60,30,50,relu,-1.093465663,9.70464135,0.795750989
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.4,0.001,32,60,30,50,leaky_relu,-2.643505754,5.485232068,0.779607013
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.001,64,60,30,100,leaky_relu,0.137681368,9.70464135,1.37752419
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.5,0.0005,64,60,30,50,leaky_relu,-0.35887126,16.03375527,0.630229666
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0005,32,60,30,100,relu,-0.187923282,16.4556962,0.922548507
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.2,0.0001,64,60,30,100,leaky_relu,-0.558290203,10.12658228,0.69950082
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.0001,64,60,30,100,leaky_relu,-0.181521768,10.97046414,0.676206939
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.2,0.0001,64,60,30,100,leaky_relu,-0.055677548,13.08016878,0.620691906
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0005,64,60,30,100,relu,0.262306003,12.65822785,1.176642463
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.0005,64,60,30,100,relu,0.070538209,19.4092827,0.762098154
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.0005,64,60,30,100,relu,-0.019884092,18.98734177,0.951711071
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,64,60,30,100,relu,0.248916572,14.76793249,1.361832163
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.0005,32,60,30,100,relu,-0.144833673,18.14345992,0.976401883
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.3,0.0005,64,60,30,150,relu,-0.128903456,12.65822785,0.676024891
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0005,64,60,30,100,relu,0.218105246,12.65822785,0.656137367
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,64,60,30,100,relu,0.333596988,9.70464135,1.105434629
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,64,60,30,100,relu,0.308940957,14.76793249,0.709139797
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,64,60,30,100,relu,0.106445639,20.67510549,1.047715806
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,64,60,30,100,relu,0.202099456,15.18987342,0.665207588
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.2,0.0005,64,60,1,50,leaky_relu,0.497799381,13.75,0.616569324
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.3,0.001,64,60,1,150,relu,0.750812356,28.75,0.721360789
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.2,0.001,32,60,1,50,relu,0.688426336,17.5,0.582423165
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,3,0.3,0.0001,64,60,1,150,leaky_relu,0.43727658,24.16666667,0.648098908
