Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.2,0.0001,64,60,30,100,"(16, 1)",Tanh,0.13408380324562744,33.0138510854353,-0.5049587138804754,6.329113924050633,0.8372141759206628
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.8,0.0005,32,60,30,150,"(25, 1)",ReLU,0.16415724599947196,37.450717682992945,-1.25575568604473,8.438818565400844,0.6234577623239737
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.001,32,60,30,100,"(25, 1)",Tanh,0.15851463075755848,37.30694601331866,-1.1033456736261877,10.970464135021098,0.660203504415227
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.2,0.0005,16,60,30,150,"(25, 1)",Sigmoid,0.18410011424087322,42.73277577940688,-1.837135394114401,10.970464135021098,0.6488147456230988
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,0.4,0.001,64,60,30,150,"(16, 1)",Tanh,0.12635686182983807,27.705340006236284,-0.33650198587701086,10.126582278481013,0.7079219600233518
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.2,0.001,32,60,30,100,"(16, 1)",Tanh,0.15954620201732322,37.10371128273089,-1.1308107854367981,8.438818565400844,0.5857555807866411
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.001,16,60,30,100,"(16, 1)",ReLU,0.19654601092730886,45.387218862367064,-2.2337051139814723,16.455696202531644,0.6690618234586834
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.5,0.0005,64,60,30,100,"(25, 1)",Sigmoid,0.11991063624225382,26.358230820729172,-0.20361435964811458,8.438818565400844,0.646352977762586
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.30000000000000004,0.001,64,60,30,100,"(16, 1)",Tanh,0.12259762034333185,27.359614098012653,-0.2581604430140019,9.70464135021097,0.6900891279094736
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.7,0.0001,64,60,30,50,"(16, 1)",Sigmoid,0.14452440901922145,31.388836525416153,-0.7484545600171493,18.9873417721519,0.6577450988189042
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.6000000000000001,0.0005,64,60,30,150,"(25, 1)",Sigmoid,0.12407452228939224,26.363996443557454,-0.28865650169764856,10.126582278481013,0.8986389523783616
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.5,0.0005,64,60,30,50,"(25, 1)",Sigmoid,0.12375028417351473,26.934446485898473,-0.2819301311480271,10.548523206751055,0.6495669474167678
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.5,0.0005,64,60,30,150,"(25, 1)",Sigmoid,0.12837734457790734,27.89302569822789,-0.37958582141814334,11.814345991561181,0.3917892468685827
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.6000000000000001,0.0005,64,60,30,50,"(16, 1)",Sigmoid,0.22058541341287558,55.41928924670291,-3.0731042598017453,4.219409282700422,0.7608182195495197
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.4,0.0005,16,60,30,100,"(25, 1)",Sigmoid,0.19602076128219864,46.24546885324681,-2.21644469830429,9.70464135021097,0.677940320078889
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.6000000000000001,0.0005,64,60,30,150,"(16, 1)",Sigmoid,0.12292380259106399,27.522142187425146,-0.2648642524322258,10.548523206751055,0.7281989570013951
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.4,0.0001,64,60,30,100,"(25, 1)",ReLU,0.12754579110307024,27.618947988829046,-0.3617714018484883,15.18987341772152,0.5971712285675862
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.7,0.0005,16,60,30,150,"(16, 1)",Sigmoid,0.17289002565747583,39.639909743280185,-1.502141253218071,8.438818565400844,0.61169169385847
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.7,0.0005,32,60,30,50,"(25, 1)",Sigmoid,0.14774961395268896,33.52655186660115,-0.8273622770671931,13.924050632911392,0.6198304755382945
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.4,0.0001,64,60,30,150,"(16, 1)",ReLU,0.12738359781710937,28.132253352133617,-0.35831021756353953,16.033755274261605,0.6908300971873498
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.30000000000000004,0.001,64,60,30,100,"(16, 1)",Tanh,0.12305898721633464,27.78093700957302,-0.2676478341151607,9.282700421940929,0.870963138051756
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.30000000000000004,0.001,64,60,30,100,"(16, 1)",Tanh,0.11663088064397685,26.19404247945581,-0.13867308548988588,8.016877637130802,1.133657143088111
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.6000000000000001,0.001,64,60,30,100,"(16, 1)",Tanh,0.12032524168853398,26.47084148932372,-0.21195203183454625,10.126582278481013,0.6482096239862742
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.30000000000000004,0.0005,64,60,30,100,"(16, 1)",Sigmoid,0.12149491753414352,25.707751365563396,-0.23562921152668803,14.345991561181433,0.7294515319984305
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,3,0.7,0.001,16,60,1,150,"(16, 1)",Sigmoid,0.029354620914404144,5.716417248994599,0.9392047826816255,54.58333333333333,0.7699295674812495
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,3,0.6000000000000001,0.0005,32,60,1,150,"(25, 1)",ReLU,0.030879977504744666,5.837902096138057,0.9327224119545174,54.166666666666664,0.5377112932074236
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,0.2,0.0005,32,60,1,50,"(25, 1)",Tanh,0.035497046444919,6.990313469680993,0.9111001761814161,46.25,0.7161248856617344
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.6000000000000001,0.001,32,60,1,150,"(16, 1)",Sigmoid,0.04488787470002535,9.32734233583839,0.8578409379097063,28.333333333333332,0.9772908371216216
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.5,0.0001,32,60,1,100,"(25, 1)",Sigmoid,0.040309922254507295,8.239544527682332,0.8853588896479531,37.916666666666664,0.5072235046595777
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.5,0.001,16,60,1,150,"(25, 1)",Tanh,0.046029662451106346,10.293195455472114,0.8505169181888201,22.083333333333332,0.8503685842277555
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,0.5,0.001,64,60,1,50,"(16, 1)",ReLU,0.050100521908296496,10.085146058136276,0.8229071762829883,32.083333333333336,0.48929543083975985
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,2,0.4,0.001,32,60,1,150,"(16, 1)",ReLU,0.028309947005370976,6.090605943507889,0.9434549522084853,51.24999999999999,0.44565703466384254
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,0.30000000000000004,0.0001,64,60,1,150,"(25, 1)",Tanh,0.04249115799099224,8.116736615276036,0.8726163771033263,37.083333333333336,0.5027651987615857
