Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.4,0.0001,32,60,1,150,0.914485733,54.58333333,0.896817573
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.0005,32,60,1,150,0.949271267,62.5,0.432299132
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.8,0.001,64,60,1,150,0.79773544,25,0.61741094
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.936257963,55,0.557453261
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.001,32,60,1,150,0.936197468,50.41666667,0.42941786
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.947449418,58.75,0.442927365
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.001,32,60,1,150,0.959473292,69.16666667,0.46007025
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.8,0.0001,32,60,30,50,0.267023474,17.72151899,1.011452855
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.001,16,60,30,50,-0.937636684,13.92405063,0.779607395
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.7,0.0001,16,60,30,150,-0.243562671,14.34599156,0.817603442
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0001,64,60,30,100,0.355830878,17.29957806,0.884315477
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.0005,64,60,30,100,0.100217803,17.29957806,1.03659715
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0005,16,60,30,100,-0.671897602,10.12658228,0.779607395
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.001,16,60,30,100,-0.934425604,14.76793249,0.779607395
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.7,0.0001,64,60,30,100,-0.197101777,24.05063291,1.451937135
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,30,100,-0.917974875,14.76793249,0.779607395
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.0001,16,60,30,100,-0.556669455,10.12658228,0.665067039
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0001,64,60,30,150,0.229019183,13.92405063,0.873109698
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0001,32,60,30,50,0.382613409,28.69198312,1.003395028
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0001,32,60,30,50,0.323573011,18.14345992,0.933671972
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0001,32,60,30,50,0.26056152,18.98734177,0.996773442
