Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.4,0.001,32,60,1,150,relu,-5.209919559,6.329113924,0.765489887
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.2,0.001,32,60,1,150,relu,-1.217595382,26.16033755,0.903941178
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.4,0.001,32,60,1,150,relu,-3.646437196,11.81434599,0.842586651
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.2,0.001,32,60,1,150,leaky_relu,-3.256223427,13.08016878,0.774436919
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.3,0.0005,64,60,1,150,relu,-0.122681715,59.49367089,0.969478293
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.3,0.0005,64,60,1,150,leaky_relu,-0.048270181,59.91561181,0.95661125
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.4,0.0005,64,60,1,100,leaky_relu,-2.178880992,38.39662447,0.919769787
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.3,0.0005,64,60,1,150,leaky_relu,0.110913049,60.33755274,0.947323379
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.4,0.0005,64,60,1,150,leaky_relu,-2.142522062,54.00843882,0.894441152
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.3,0.0005,64,60,1,150,leaky_relu,-1.548201948,49.78902954,0.949983056
