Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.2,0.001,64,60,1,50,relu,0.484589129,20.41666667,0.749524804
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.0001,64,60,1,100,relu,0.815243865,45,0.933816998
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.5,0.0005,64,60,1,50,leaky_relu,0.534191936,22.08333333,0.656831878
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.001,32,60,1,100,leaky_relu,0.640327649,32.91666667,0.725604193
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.2,0.0001,64,60,1,150,relu,0.783670312,40.41666667,0.815457069
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.5,0.0001,64,60,1,50,leaky_relu,-0.149408033,14.58333333,0.73720731
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.0005,32,60,1,150,leaky_relu,0.60893162,34.16666667,1.087867353
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.001,32,60,1,100,relu,0.210155819,9.166666667,1.042810397
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0001,64,60,1,100,relu,-0.617040797,10.41666667,0.615366873
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,0.815279838,50.83333333,1.10191818
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,0.540652401,18.75,0.591964077
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.001,64,60,1,100,relu,0.7782708,35,0.751227987
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,-0.262806896,7.083333333,0.521902499
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.001,64,60,1,100,relu,0.367068593,15.41666667,0.555077436
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.001,64,60,1,100,relu,0.847798228,50.41666667,0.906542297
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.5,0.001,32,60,1,100,leaky_relu,0.767106349,37.08333333,0.655017485
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.5,0.001,64,60,1,150,relu,0.172793268,3.75,0.514114221
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.5,0.001,64,60,1,100,relu,0.763072544,42.5,1.542460331
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,0.697176606,39.58333333,1.692435406
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,0.780959932,47.08333333,1.727119725
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.001,64,60,1,100,relu,0.511637563,40,2.02732552
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.001,64,60,1,100,relu,0.850017198,51.66666667,0.862577796
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,32,60,30,150,leaky_relu,-2.266623226,10.97046414,0.710289043
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0001,32,60,30,150,leaky_relu,-1.928169285,12.23628692,0.705463368
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.0005,32,60,30,50,relu,0.122033082,20.67510549,1.094223249
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.4,0.0001,32,60,30,150,leaky_relu,0.422472811,31.64556962,1.145307751
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.4,0.001,64,60,30,100,relu,0.255919785,20.25316456,1.535019197
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.3,0.001,32,60,30,100,leaky_relu,-1.69307581,5.485232068,1
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,64,60,30,50,leaky_relu,0.323895183,29.95780591,1.14433521
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.2,0.001,64,60,30,100,relu,0.24456424,32.48945148,1.061672116
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.2,0.001,32,60,30,100,leaky_relu,-1.863579591,8.016877637,1
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.001,32,60,30,100,leaky_relu,-2.051940757,10.54852321,0.916877904
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0001,64,60,30,150,relu,-0.490893826,14.34599156,0.80030164
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.394200371,32.06751055,1.107811058
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.235945059,26.58227848,0.99330143
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0001,64,60,30,50,leaky_relu,-2.041489769,12.23628692,0.767785852
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,32,60,30,150,leaky_relu,-1.190574723,11.39240506,1.135762919
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0001,64,60,30,50,leaky_relu,-4.370032934,4.641350211,0.694935838
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,64,60,30,150,leaky_relu,0.298660361,26.16033755,1.085916308
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.0005,32,60,30,150,leaky_relu,-0.333982793,18.14345992,1.037290543
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.5,0.0001,64,60,30,50,relu,-2.241959737,13.92405063,0.700678408
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,32,60,30,150,leaky_relu,-1.959621649,9.70464135,1.419803176
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,64,60,30,50,leaky_relu,-2.136588236,6.329113924,0.776851408
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,64,60,30,50,leaky_relu,0.049464257,16.87763713,0.921283425
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,64,60,30,50,leaky_relu,0.041802338,24.05063291,0.864257611
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.4,0.0005,64,60,30,50,leaky_relu,0.327450434,29.11392405,0.884755299
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,64,60,30,50,leaky_relu,-0.75729436,19.4092827,0.79190755
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.4,0.001,64,60,1,100,leaky_relu,0.853878314,54.58333333,1.292321085
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.3,0.0005,32,60,1,150,relu,0.580384247,31.66666667,1.175286488
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.2,0.001,64,60,1,150,leaky_relu,0.792080097,47.08333333,0.916716077
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.5,0.001,64,60,1,50,leaky_relu,0.687373608,32.5,0.665044061
