Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.001,16,60,30,100,-0.281592268,31.22362869,1.481850047
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,16,60,30,50,-0.124630225,37.13080169,1.476391613
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.0001,64,60,30,50,-0.478647905,35.02109705,1.043658657
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.001,16,60,30,150,-0.483295674,39.66244726,1.098337197
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,16,60,30,100,0.014239373,35.02109705,1.231293068
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,32,60,30,150,-0.64289857,27.00421941,0.944038742
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,16,60,30,50,-1.412731206,21.51898734,1.191312151
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0001,16,60,30,100,-0.167073942,41.35021097,1.14016951
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,16,60,30,50,-0.4343473,41.7721519,1.064582489
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.3,0.0005,16,60,30,150,-1.453900794,24.47257384,0.922143231
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,100,-0.024056966,38.39662447,0.984261787
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,32,60,30,100,-0.107657959,37.97468354,0.997176047
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,32,60,30,100,-0.174057944,40.92827004,1.297745635
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0001,32,60,30,100,-0.141356634,31.64556962,1.307861776
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.0005,32,60,30,100,-0.303873186,44.30379747,1.038568276
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.001,32,60,30,100,-0.209920001,31.22362869,1.290907857
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,32,60,30,100,-0.104719025,40.92827004,1.242935094
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,32,60,30,100,-0.217005312,33.33333333,1.034984028
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,32,60,30,100,-0.049351364,41.35021097,1.256857778
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,32,60,30,100,-0.054983358,39.24050633,1.515531286
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0001,64,60,1,150,0.851447401,80,0.867820737
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,16,60,1,100,0.405999333,35,0.698311927
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.001,64,60,1,150,0.874939938,85,0.893229488
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.001,32,60,1,50,0.797832023,75.83333333,0.772022457
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,64,60,1,100,0.856798578,83.33333333,1.012351679
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.6,0.0001,32,60,1,100,0.358131106,43.75,0.996717672
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.8,0.001,32,60,1,150,0.84082319,79.58333333,0.928316636
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.001,64,60,1,50,0.884898613,85.83333333,1.212348198
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0001,64,60,1,150,0.264651993,30.83333333,1.297768969
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,32,60,1,100,0.755909637,67.91666667,0.704080707
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.0005,16,60,1,50,0.832235257,79.16666667,0.647210589
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,64,60,1,50,0.838213129,80,0.910585632
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.001,64,60,1,150,0.732112442,60.41666667,0.692733875
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,1,50,0.830697297,79.16666667,1.048435526
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.001,64,60,1,150,0.889086856,88.33333333,1.386462775
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.0005,64,60,1,50,0.784389255,76.66666667,1.133438046
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.001,16,60,1,50,0.81429607,75.83333333,0.752175136
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,1,150,0.914384458,90.41666667,1.053167729
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.0001,64,60,1,150,0.769671494,75.41666667,1.215852274
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0005,16,60,1,150,0.862061735,80.41666667,0.860630341
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.001,64,60,1,150,0.914942081,90.83333333,1.156248613
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.001,64,60,1,150,0.876953219,85.83333333,1.454834452
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,1,150,0.878121673,83.33333333,0.946732236
23,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.001,64,60,1,150,0.864798944,84.58333333,0.883492643
24,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,1,150,0.528427332,40.41666667,0.722025544
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.7,0.0005,32,60,30,100,-0.28052308,41.7721519,1.032313404
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.001,64,60,30,100,-0.670797662,30.80168776,0.917983883
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.0001,64,60,30,100,-2.966934755,9.70464135,1
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,16,60,30,150,-0.17979714,26.58227848,1.04542407
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.3,0.0005,64,60,30,100,-1.655937539,12.23628692,0.828648974
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0005,16,60,30,50,-0.395636927,37.13080169,0.99247744
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.001,16,60,30,100,-0.997881617,19.4092827,0.820892658
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.0001,16,60,30,150,-0.345364915,37.13080169,1.005844512
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.001,32,60,30,50,-0.377683838,37.97468354,0.979428965
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,64,60,30,100,-0.206958841,37.97468354,1.097733914
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.2,0.001,16,60,30,150,-0.731275708,27.00421941,1.028700359
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,64,60,30,150,-36.12935204,0,1
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,16,60,30,150,-3.335084005,12.23628692,0.828648974
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,64,60,30,150,-0.07150642,41.7721519,1.252669572
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,32,60,30,150,-0.696314848,27.84810127,0.89983709
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.0001,64,60,30,150,-0.302385394,43.88185654,1.038772376
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.001,16,60,30,150,-0.348776535,29.95780591,1.077160685
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.001,16,60,30,150,-0.98673315,18.98734177,0.84891826
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,30,50,-0.869558691,25.73839662,1.258930553
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.0001,32,60,30,150,-0.05983041,42.19409283,1.03206697
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0001,32,60,30,150,-0.098193966,40.50632911,1.002822218
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0001,32,60,30,150,-0.017425796,41.7721519,0.979852857
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.0001,32,60,30,150,-0.010100202,43.88185654,1.07073213
