Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy
JPM,"20MA, 50MA, Upper_BB, CCI, ROC",32,3,0.2,0.001,16,100,adam,17.03794909,8.282598053,0.807442143,28.45637584
JPM,"20MA, 50MA, Upper_BB, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,12.13052849,5.924574211,0.902391856,43.48993289
JPM,"20MA, 50MA, Upper_BB, CCI, OBV",32,3,0.2,0.001,16,100,adam,29.76956126,15.53206446,0.412143291,7.382550336
JPM,"20MA, 50MA, Upper_BB, ATR, ROC",32,3,0.2,0.001,16,100,adam,8.727692693,4.093118861,0.949472768,65.36912752
JPM,"20MA, 50MA, Upper_BB, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,6.063238377,3.289145144,0.975614262,76.91275168
JPM,"20MA, 50MA, Upper_BB, ATR, OBV",32,3,0.2,0.001,16,100,adam,8.014625328,4.081883542,0.957391813,66.30872483
JPM,"20MA, 50MA, Upper_BB, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,10.2896847,4.90974369,0.929768694,55.03355705
JPM,"20MA, 50MA, Upper_BB, ROC, OBV",32,3,0.2,0.001,16,100,adam,32.57831775,17.91574358,0.295981745,5.234899329
JPM,"20MA, 50MA, Upper_BB, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,19.44934809,10.14117421,0.749079174,13.82550336
JPM,"20MA, 50MA, Lower_BB, CCI, ATR",32,3,0.2,0.001,16,100,adam,6.575004559,3.414798092,0.97132399,77.18120805
JPM,"20MA, 50MA, Lower_BB, CCI, ROC",32,3,0.2,0.001,16,100,adam,17.53752884,8.07007912,0.795984386,34.4966443
JPM,"20MA, 50MA, Lower_BB, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,23.69162787,10.53255233,0.627679957,23.89261745
JPM,"20MA, 50MA, Lower_BB, CCI, OBV",32,3,0.2,0.001,16,100,adam,13.61873033,6.95873418,0.876973165,33.2885906
JPM,"20MA, 50MA, Lower_BB, ATR, ROC",32,3,0.2,0.001,16,100,adam,11.17911681,5.188926856,0.917102468,52.2147651
JPM,"20MA, 50MA, Lower_BB, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,7.372614061,4.161935447,0.963944659,70.87248322
JPM,"20MA, 50MA, Lower_BB, ATR, OBV",32,3,0.2,0.001,16,100,adam,9.437205897,4.883763537,0.940923675,55.97315436
JPM,"20MA, 50MA, Lower_BB, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,12.9167581,6.367268582,0.889329043,41.0738255
JPM,"20MA, 50MA, Lower_BB, ROC, OBV",32,3,0.2,0.001,16,100,adam,17.05873868,7.216900059,0.806971941,40
JPM,"20MA, 50MA, Lower_BB, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,9.903706723,4.830912813,0.934938787,56.51006711
JPM,"20MA, 50MA, CCI, ATR, ROC",32,3,0.2,0.001,16,100,adam,24.30598506,10.7496864,0.608120032,22.81879195
JPM,"20MA, 50MA, CCI, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,13.9251082,5.682347399,0.87137548,54.76510067
JPM,"20MA, 50MA, CCI, ATR, OBV",32,3,0.2,0.001,16,100,adam,7.328205674,4.200861493,0.964377704,68.45637584
JPM,"20MA, 50MA, CCI, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,13.82272999,6.799265512,0.873259837,34.4966443
JPM,"20MA, 50MA, CCI, ROC, OBV",32,3,0.2,0.001,16,100,adam,28.53275765,12.96645729,0.459974701,18.38926174
JPM,"20MA, 50MA, CCI, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,14.7127845,7.651543068,0.856412591,27.11409396
JPM,"20MA, 50MA, ATR, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,13.08033448,5.910817509,0.886508246,45.36912752
JPM,"20MA, 50MA, ATR, ROC, OBV",32,3,0.2,0.001,16,100,adam,7.415651371,3.873665376,0.963522487,68.05369128
JPM,"20MA, 50MA, ATR, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,10.84787037,5.607858983,0.92194233,42.81879195
JPM,"20MA, 50MA, ROC, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,24.92402795,11.13588794,0.587937522,19.73154362
JPM,"20MA, 200MA, RSI, MACD, Signal_Line",32,3,0.2,0.001,16,100,adam,18.23373167,8.031217768,0.779464895,32.88590604
JPM,"20MA, 200MA, RSI, MACD, Upper_BB",32,3,0.2,0.001,16,100,adam,22.41081809,10.401848,0.666848301,21.20805369
JPM,"20MA, 200MA, RSI, MACD, Lower_BB",32,3,0.2,0.001,16,100,adam,22.03938897,9.437670671,0.677799871,29.53020134
JPM,"20MA, 200MA, RSI, MACD, CCI",32,3,0.2,0.001,16,100,adam,19.89029767,8.798642429,0.737572601,27.91946309
JPM,"20MA, 200MA, RSI, MACD, ATR",32,3,0.2,0.001,16,100,adam,11.98576538,5.158162919,0.904707624,52.88590604
JPM,"20MA, 200MA, RSI, MACD, ROC",32,3,0.2,0.001,16,100,adam,28.48138765,11.28611508,0.461917459,29.12751678
JPM,"20MA, 200MA, RSI, MACD, Williams_%R",32,3,0.2,0.001,16,100,adam,20.6603668,9.25115615,0.716859062,26.7114094
JPM,"20MA, 200MA, RSI, MACD, OBV",32,3,0.2,0.001,16,100,adam,17.70864764,7.748424337,0.791983682,42.01342282
JPM,"20MA, 200MA, RSI, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,31.10615925,12.88987996,0.358170916,24.29530201
JPM,"20MA, 200MA, RSI, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,12.99457906,6.29506197,0.887991484,39.19463087
JPM,"20MA, 200MA, RSI, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,27.05090805,11.36557727,0.514610579,22.14765101
